Stage,Method,Type,Noise_C,Reduction_%,RMSE_C,Ratio
Denoise,Raw Baseline,Baseline,500.16,0.0,N/A,N/A
Denoise,Moving Average,Classical,280.47,43.9,N/A,N/A
Denoise,Median Filter,Classical,363.26,27.4,N/A,N/A
Denoise,Savitzky-Golay,Classical,358.37,28.3,N/A,N/A
Denoise,Gaussian,Classical,210.12,58.0,N/A,N/A
Denoise,Kalman,Classical,52.49,89.5,N/A,N/A
Denoise,CNN,ML,358.79,28.3,N/A,N/A
Denoise,LSTM,ML,353.74,29.3,N/A,N/A
Denoise,AE Denoiser,ML,283.29,43.4,N/A,N/A
Denoise,BiLSTM,ML,357.04,28.6,N/A,N/A
Calibrate,Raw Baseline,Baseline,N/A,N/A,436.8,N/A
Calibrate,Mean Offset,Classical,N/A,N/A,430.38,N/A
Calibrate,Linear Regression,Classical,N/A,N/A,172.84,N/A
Calibrate,Polynomial deg=2,Classical,N/A,N/A,176.01,N/A
Calibrate,Piecewise Linear,Classical,N/A,N/A,175.91,N/A
Calibrate,Random Forest,ML,N/A,N/A,100.08,N/A
Calibrate,MLP Neural Net,ML,N/A,N/A,107.45,N/A
Calibrate,Gradient Boosting,ML,N/A,N/A,102.76,N/A
Calibrate,SVR (RBF),ML,N/A,N/A,107.78,N/A
Compress,Raw Baseline,Baseline,N/A,N/A,0.00,1.0
Compress,Delta Encoding,Classical,N/A,N/A,1.2739,2.0
Compress,Downsampling 2x,Classical,N/A,N/A,21.97,2.0
Compress,SVD rank=10,Classical,N/A,N/A,131.6,2.1
Compress,Wavelet 10%,Classical,N/A,N/A,36.55,2.5
Compress,PCA (n=3),ML,N/A,N/A,58.06,10.7
Compress,Autoencoder,ML,N/A,N/A,173.9,10.7
Compress,VAE,ML,N/A,N/A,161.76,10.7
Compress,Deep Autoencoder,ML,N/A,N/A,107.55,10.7
